,Player,Name,Nation,Pos,Squad,season
325,Berat Djimsiti\Berat-Djimsiti,DJIMSITI,al ALB,DF,Atalanta,2018-2019
326,Alfred Duncan\Alfred-Duncan,DUNCAN,gh GHA,MF,Sassuolo,2018-2019
327,Paulo Dybala\Paulo-Dybala,DYBALA,ar ARG,FWMF,Juventus,2018-2019
328,Edin Džeko\Edin-Dzeko,DZEKO,ba BIH,FW,Roma,2018-2019
329,Blerim Džemaili\Blerim-Dzemaili,DZEMAILI,ch SUI,MF,Bologna,2018-2019
330,Albin Ekdal\Albin-Ekdal,EKDAL,se SWE,MF,Sampdoria,2018-2019
331,Paolo Faragò\Paolo-Farago,FARAGO,it ITA,MFDF,Cagliari,2018-2019
332,Mohamed Fares\Mohamed-Fares,FARES,dz ALG,DFMF,SPAL,2018-2019
333,Diego Farias\Diego-Farias,FARIAS,br BRA,FW,Empoli,2018-2019
334,Federico Fazio\Federico-Fazio,FAZIO,ar ARG,DF,Roma,2018-2019
335,Edimilson Fernandes\Edimilson-Fernandes,FERNANDES,ch SUI,MF,Fiorentina,2018-2019
336,Sergio Floccari\Sergio-Floccari,FLOCCARI,it ITA,FW,SPAL,2018-2019
337,Alessandro Florenzi\Alessandro-Florenzi,FLORENZI,it ITA,DFFW,Roma,2018-2019
338,Seko Fofana\Seko-Fofana,FOFANA,ci CIV,MF,Udinese,2018-2019
339,Remo Freuler\Remo-Freuler,FREULER,ch SUI,MF,Atalanta,2018-2019
340,Roberto Gagliardini\Roberto-Gagliardini,GAGLIARDINI,it ITA,MF,Inter,2018-2019
341,Riccardo Gagliolo\Riccardo-Gagliolo,GAGLIOLO,se SWE,DF,Parma,2018-2019
342,Marcello Gazzola\Marcello-Gazzola,GAZZOLA,it ITA,DFMF,Parma,2018-2019
343,Gerson\Gerson,GERSON,br BRA,MFFW,Fiorentina,2018-2019
344,Gervinho\Gervinho,GERVINHO,ci CIV,FW,Parma,2018-2019
345,Faouzi Ghoulam\Faouzi-Ghoulam,GHOULAM,dz ALG,DF,Napoli,2018-2019
346,Emanuele Giaccherini\Emanuele-Giaccherini,GIACCHERINI,it ITA,MFFW,Chievo,2018-2019
347,Massimo Gobbi\Massimo-Gobbi,GOBBI,it ITA,DF,Parma,2018-2019
348,Edoardo Goldaniga\Edoardo-Goldaniga,GOLDANIGA,it ITA,DF,Frosinone,2018-2019
349,Papu Gómez\Papu-Gomez,GOMEZ,ar ARG,MFFW,Atalanta,2018-2019
350,Robin Gosens\Robin-Gosens,GOSENS,de GER,DFMF,Atalanta,2018-2019
351,Marek Hamšík\Marek-Hamsik,HAMSIK,sk SVK,MF,Napoli,2018-2019
352,Hans Hateboer\Hans-Hateboer,HATEBOER,nl NED,DFMF,Atalanta,2018-2019
353,Filip Helander\Filip-Helander,HELANDER,se SWE,DF,Bologna,2018-2019
354,Përparim Hetemaj\Perparim-Hetemaj,HETEMAJ,fi FIN,MF,Chievo,2018-2019
355,Gonzalo Higuaín\Gonzalo-Higuain,HIGUAIN,ar ARG,FW,Milan,2018-2019
356,Oscar Hiljemark\Oscar-Hiljemark,HILJEMARK,se SWE,MF,Genoa,2018-2019
357,Elseid Hysaj\Elseid-Hysaj,HYSAJ,al ALB,DF,Napoli,2018-2019
358,Simone Iacoponi\Simone-Iacoponi,IACOPONI,it ITA,DF,Parma,2018-2019
359,Mauro Icardi\Mauro-Icardi,ICARDI,ar ARG,FW,Inter,2018-2019
360,Josip Iličić\Josip-Ilicic,ILICIC,si SVN,FWMF,Atalanta,2018-2019
361,Ciro Immobile\Ciro-Immobile,IMMOBILE,it ITA,FW,Lazio,2018-2019
362,Roberto Inglese\Roberto-Inglese,INGLESE,it ITA,FW,Parma,2018-2019
363,Lorenzo Insigne\Lorenzo-Insigne,INSIGNE,it ITA,FWMF,Napoli,2018-2019
364,Artur Ioniță\Artur-Ionita,IONITA,md MDA,MF,Cagliari,2018-2019
365,Armando Izzo\Armando-Izzo,IZZO,it ITA,DF,Torino,2018-2019
366,Jakub Jankto\Jakub-Jankto,JANKTO,cz CZE,MF,Sampdoria,2018-2019
367,Paweł Jaroszyński\Pawel-Jaroszynski,JAROSZYNSKI,pl POL,DFMF,Chievo,2018-2019
368,Franck Kessié\Franck-Kessie,KESSIE,ci CIV,MF,Milan,2018-2019
369,Ragnar Klavan\Ragnar-Klavan,KLAVAN,ee EST,DF,Cagliari,2018-2019
370,Justin Kluivert\Justin-Kluivert,KLUIVERT,nl NED,FW,Roma,2018-2019
371,Aleksandar Kolarov\Aleksandar-Kolarov,KOLAROV,rs SRB,DF,Roma,2018-2019
372,Christian Kouamé\Christian-Kouame,KOUAME,ci CIV,FWMF,Genoa,2018-2019
373,Kalidou Koulibaly\Kalidou-Koulibaly,KOULIBALY,sn SEN,DF,Napoli,2018-2019
374,Ladislav Krejčí\Ladislav-Krejci,KREJCI,cz CZE,MFDF,Bologna,2018-2019
375,Rade Krunić\Rade-Krunic,KRUNIC,ba BIH,MF,Empoli,2018-2019
376,Juraj Kucka\Juraj-Kucka,KUCKA,sk SVK,MF,Parma,2018-2019
377,Jasmin Kurtić\Jasmin-Kurtic,KURTIC,si SVN,MF,SPAL,2018-2019
378,Kevin Lasagna\Kevin-Lasagna,LASAGNA,it ITA,FW,Udinese,2018-2019
379,Vincent Laurini\Vincent-Laurini,LAURINI,fr FRA,DF,Fiorentina,2018-2019
380,Darko Lazović\Darko-Lazovic,LAZOVIC,rs SRB,MFDF,Genoa,2018-2019
381,Manuel Lazzari\Manuel-Lazzari,LAZZARI,it ITA,MFDF,SPAL,2018-2019
382,Lukas Lerager\Lukas-Lerager,LERAGER,dk DEN,MF,Genoa,2018-2019
383,Mehdi Léris\Mehdi-Leris,LERIS,fr FRA,MFFW,Chievo,2018-2019
384,Karol Linetty\Karol-Linetty,LINETTY,pl POL,MF,Sampdoria,2018-2019
385,Pol Lirola\Pol-Lirola,LIROLA,es ESP,DFMF,Sassuolo,2018-2019
386,Manuel Locatelli\Manuel-Locatelli,LOCATELLI,it ITA,MF,Sassuolo,2018-2019
387,José Luis Palomino\Jose-Luis-Palomino,PALOMINO,ar ARG,DF,Atalanta,2018-2019
388,Saša Lukić\Sasa-Lukic,LUKIC,rs SRB,MF,Torino,2018-2019
389,Senad Lulić\Senad-Lulic,LULIC,ba BIH,DFMF,Lazio,2018-2019
390,Lyanco\Lyanco,LYANCO,br BRA,DF,Bologna,2018-2019
391,Francesco Magnanelli\Francesco-Magnanelli,MAGNANELLI,it ITA,MF,Sassuolo,2018-2019
392,Giangiacomo Magnani\Giangiacomo-Magnani,MAGNANI,it ITA,DF,Sassuolo,2018-2019
393,Raffaele Maiello\Raffaele-Maiello,MAIELLO,it ITA,MF,Frosinone,2018-2019
394,Domenico Maietta\Domenico-Maietta,MAIETTA,it ITA,DF,Empoli,2018-2019
395,Nikola Maksimović\Nikola-Maksimovic,MAKSIMOVIC,rs SRB,DF,Napoli,2018-2019
396,Kévin Malcuit\Kevin-Malcuit,MALCUIT,ma MAR,DF,Napoli,2018-2019
397,Gianluca Mancini\Gianluca-Mancini,MANCINI,it ITA,DF,Atalanta,2018-2019
398,Rolando Mandragora\Rolando-Mandragora,MANDRAGORA,it ITA,MF,Udinese,2018-2019
399,Mario Mandžukić\Mario-Mandzukic,MANDZUKIC,hr CRO,FW,Juventus,2018-2019
400,Kostas Manolas\Kostas-Manolas,MANOLAS,gr GRE,DF,Roma,2018-2019
401,Marlon\Marlon,MARLON,br BRA,DF,Sassuolo,2018-2019
402,Adam Marušić\Adam-Marusic,MARUSIC,me MNE,DFMF,Lazio,2018-2019
403,Andrea Masiello\Andrea-Masiello,MASIELLO,it ITA,DF,Atalanta,2018-2019
404,Federico Mattiello\Federico-Mattiello,MATTIELLO,it ITA,MFDF,Bologna,2018-2019
405,Blaise Matuidi\Blaise-Matuidi,MATUIDI,fr FRA,MF,Juventus,2018-2019
406,Ibrahima Mbaye\Ibrahima-Mbaye,MBAYE,sn SEN,DF,Bologna,2018-2019
407,Riccardo Meggiorini\Riccardo-Meggiorini,MEGGIORINI,it ITA,FW,Chievo,2018-2019
408,Soualiho Meïté\Soualiho-Meite,MEITE,fr FRA,MF,Torino,2018-2019
409,Dries Mertens\Dries-Mertens,MERTENS,be BEL,FW,Napoli,2018-2019
410,Nikola Milenković\Nikola-Milenkovic,MILENKOVIC,rs SRB,DF,Fiorentina,2018-2019
411,Arkadiusz Milik\Arkadiusz-Milik,MILIK,pl POL,FW,Napoli,2018-2019
412,Sergej Milinković-Savić\Sergej-Milinkovic-Savic,MILINKOVIC-SAVIC,rs SRB,MF,Lazio,2018-2019
413,Kevin Mirallas\Kevin-Mirallas,MIRALLAS,be BEL,FWMF,Fiorentina,2018-2019
414,Miranda\Miranda,MIRANDA,br BRA,DF,Inter,2018-2019
415,Simone Missiroli\Simone-Missiroli,MISSIROLI,it ITA,MF,SPAL,2018-2019
416,Cristian Molinaro\Cristian-Molinaro,MOLINARO,it ITA,DFMF,Frosinone,2018-2019
417,Emiliano Moretti\Emiliano-Moretti,MORETTI,it ITA,DF,Torino,2018-2019
418,Alessandro Murgia\Alessandro-Murgia,MURGIA,it ITA,MF,SPAL,2018-2019
419,Luis Muriel\Luis-Muriel,MURIEL,co COL,FW,Fiorentina,2018-2019
420,Nicola Murru\Nicola-Murru,MURRU,it ITA,DF,Sampdoria,2018-2019
421,Mateo Musacchio\Mateo-Musacchio,MUSACCHIO,ar ARG,DF,Milan,2018-2019
422,Ádám Nagy\Adam-Nagy,NAGY,hu HUN,MF,Bologna,2018-2019
423,Radja Nainggolan\Radja-Nainggolan,NAINGGOLAN,be BEL,MF,Inter,2018-2019
424,Nicolas Nkoulou\Nicolas-Nkoulou,NKOULOU,cm CMR,DF,Torino,2018-2019
425,Bram Nuytinck\Bram-Nuytinck,NUYTINCK,nl NED,DF,Udinese,2018-2019
426,Steven Nzonzi\Steven-Nzonzi,NZONZI,fr FRA,MF,Roma,2018-2019
427,Stefano Okaka\Stefano-Okaka,OKAKA,it ITA,FW,Udinese,2018-2019
428,Riccardo Orsolini\Riccardo-Orsolini,ORSOLINI,it ITA,FWMF,Bologna,2018-2019
429,Simone Padoin\Simone-Padoin,PADOIN,it ITA,DFMF,Cagliari,2018-2019
430,Luca Paganini\Luca-Paganini,PAGANINI,it ITA,DFMF,Frosinone,2018-2019
431,Rodrigo Palacio\Rodrigo-Palacio,PALACIO,ar ARG,FW,Bologna,2018-2019
432,Goran Pandev\Goran-Pandev,PANDEV,mk MKD,FWMF,Genoa,2018-2019
433,Marco Parolo\Marco-Parolo,PAROLO,it ITA,MF,Lazio,2018-2019
434,Mario Pašalić\Mario-Pasalic,PASALIC,hr CRO,MFFW,Atalanta,2018-2019
435,Manuel Pasqual\Manuel-Pasqual,PASQUAL,it ITA,DFMF,Empoli,2018-2019
436,Patric\Patric,PATRIC,es ESP,DFMF,Lazio,2018-2019
437,Leonardo Pavoletti\Leonardo-Pavoletti,PAVOLETTI,it ITA,FW,Cagliari,2018-2019
438,Sergio Pellissier\Sergio-Pellissier,PELLISSIER,it ITA,FW,Chievo,2018-2019
439,Federico Peluso\Federico-Peluso,PELUSO,it ITA,DF,Sassuolo,2018-2019
440,Ivan Perišić\Ivan-Perisic,PERISIC,hr CRO,FWMF,Inter,2018-2019
441,Andrea Petagna\Andrea-Petagna,PETAGNA,it ITA,FW,SPAL,2018-2019
442,Krzysztof Piątek\Krzysztof-Piatek,PIATEK,pl POL,FW,Milan,2018-2019
443,Andrea Pinamonti\Andrea-Pinamonti,PINAMONTI,it ITA,FW,Frosinone,2018-2019
444,Fabio Pisacane\Fabio-Pisacane,PISACANE,it ITA,DF,Cagliari,2018-2019
445,Miralem Pjanić\Miralem-Pjanic,PJANIC,ba BIH,MF,Juventus,2018-2019
446,Andrea Poli\Andrea-Poli,POLI,it ITA,MF,Bologna,2018-2019
447,Matteo Politano\Matteo-Politano,POLITANO,it ITA,FWMF,Inter,2018-2019
448,Dennis Praet\Dennis-Praet,PRAET,be BEL,MF,Sampdoria,2018-2019
449,Erick Pulgar\Erick-Pulgar,PULGAR,cl CHI,MF,Bologna,2018-2019
450,Ignacio Pussetto\Ignacio-Pussetto,PUSSETTO,ar ARG,FWMF,Udinese,2018-2019
451,Fabio Quagliarella\Fabio-Quagliarella,QUAGLIARELLA,it ITA,FW,Sampdoria,2018-2019
452,Ivan Radovanović\Ivan-Radovanovic,RADOVANOVIC,rs SRB,MF,Genoa,2018-2019
453,Ștefan Radu\Stefan-Radu,RADU,ro ROU,DF,Lazio,2018-2019
454,Gastón Ramírez\Gaston-Ramirez,RAMIREZ,uy URU,MFFW,Sampdoria,2018-2019
455,Jacob Rasmussen\Jacob-Rasmussen,RASMUSSEN,dk DEN,DFMF,Empoli,2018-2019
456,Tomás Rincón\Tomas-Rincon,RINCON,ve VEN,MF,Torino,2018-2019
457,Rogério\Rogerio,ROGERIO,br BRA,DFMF,Sassuolo,2018-2019
458,Esteban Rolón\Esteban-Rolon,ROLON,ar ARG,MF,Genoa,2018-2019
459,Filippo Romagna\Filippo-Romagna,ROMAGNA,it ITA,DF,Cagliari,2018-2019
460,Alessio Romagnoli\Alessio-Romagnoli,ROMAGNOLI,it ITA,DF,Milan,2018-2019
461,Cristian Romero\Cristian-Romero,ROMERO,ar ARG,DF,Genoa,2018-2019
462,Cristiano Ronaldo\Cristiano-Ronaldo,RONALDO,pt POR,FW,Juventus,2018-2019
463,Luca Rossettini\Luca-Rossettini,ROSSETTINI,it ITA,DF,Chievo,2018-2019
464,Daniele Rugani\Daniele-Rugani,RUGANI,it ITA,DF,Juventus,2018-2019
465,Jacopo Sala\Jacopo-Sala,SALA,it ITA,DF,Sampdoria,2018-2019
466,Bartosz Salamon\Bartosz-Salamon,SALAMON,pl POL,DF,Frosinone,2018-2019
467,Nicola Sansone\Nicola-Sansone,SANSONE,it ITA,FW,Bologna,2018-2019
468,Federico Santander\Federico-Santander,SANTANDER,py PAR,FW,Bologna,2018-2019
469,Davide Santon\Davide-Santon,SANTON,it ITA,DF,Roma,2018-2019
470,Riccardo Saponara\Riccardo-Saponara,SAPONARA,it ITA,MFFW,Sampdoria,2018-2019
471,Pasquale Schiattarella\Pasquale-Schiattarella,SCHIATTARELLA,it ITA,MF,SPAL,2018-2019
472,Patrik Schick\Patrik-Schick,SCHICK,cz CZE,FW,Roma,2018-2019
473,Matteo Scozzarella\Matteo-Scozzarella,SCOZZARELLA,it ITA,MF,Parma,2018-2019
474,Stefano Sensi\Stefano-Sensi,SENSI,it ITA,MF,Sassuolo,2018-2019
475,Luca Siligardi\Luca-Siligardi,SILIGARDI,it ITA,FW,Parma,2018-2019
476,Matías Silvestre\Matias-Silvestre,SILVESTRE,ar ARG,DF,Empoli,2018-2019
477,Giovanni Simeone\Giovanni-Simeone,SIMEONE,ar ARG,FW,Fiorentina,2018-2019
478,Milan Škriniar\Milan-Skriniar,SKRINIAR,sk SVK,DF,Inter,2018-2019
479,Roberto Soriano\Roberto-Soriano,SORIANO,it ITA,MF,Bologna,2018-2019
480,Darijo Srna\Darijo-Srna,SRNA,hr CRO,DF,Cagliari,2018-2019
481,Mariusz Stępiński\Mariusz-Stepinski,STEPINSKI,pl POL,FW,Chievo,2018-2019
482,Leo Štulac\Leo-Stulac,STULAC,si SVN,MF,Parma,2018-2019
483,Suso\Suso,SUSO,es ESP,FWMF,Milan,2018-2019
484,Mattias Svanberg\Mattias-Svanberg,SVANBERG,se SWE,MF,Bologna,2018-2019
485,Rafael Tolói\Rafael-Toloi,TOLOI,it ITA,DF,Atalanta,2018-2019
486,Lorenzo Tonelli\Lorenzo-Tonelli,TONELLI,it ITA,DF,Sampdoria,2018-2019
487,William Troost-Ekong\William-Troost-Ekong,TROOST-EKONG,ng NGA,DF,Udinese,2018-2019
488,Cengiz Ünder\Cengiz-Under,UNDER,tr TUR,FW,Roma,2018-2019
489,Mattia Valoti\Mattia-Valoti,VALOTI,it ITA,MF,SPAL,2018-2019
490,Matías Vecino\Matias-Vecino,VECINO,uy URU,MF,Inter,2018-2019
491,Jordan Veretout\Jordan-Veretout,VERETOUT,fr FRA,MF,Fiorentina,2018-2019
492,Freddie Veseli\Freddie-Veseli,VESELI,al ALB,DF,Empoli,2018-2019
493,Francesco Vicari\Francesco-Vicari,VICARI,it ITA,DF,SPAL,2018-2019
494,Wallace\Wallace,WALLACE,br BRA,DF,Lazio,2018-2019
495,Miha Zajc\Miha-Zajc,ZAJC,si SVN,FWMF,Empoli,2018-2019
496,Francesco Zampano\Francesco-Zampano,ZAMPANO,it ITA,DFMF,Frosinone,2018-2019
497,Nicolò Zaniolo\Nicolo-Zaniolo,ZANIOLO,it ITA,MFFW,Roma,2018-2019
498,Simone Zaza\Simone-Zaza,ZAZA,it ITA,FW,Torino,2018-2019
499,Marvin Zeegelaar\Marvin-Zeegelaar,ZEEGELAAR,nl NED,DF,Udinese,2018-2019
500,Piotr Zieliński\Piotr-Zielinski,ZIELINSKI,pl POL,MFFW,Napoli,2018-2019
501,Ervin Zukanović\Ervin-Zukanovic,ZUKANOVIC,ba BIH,DF,Genoa,2018-2019
502,Francesco Acerbi\Francesco-Acerbi,ACERBI,it ITA,DF,Lazio,2019-2020
503,Ola Aina\Ola-Aina,AINA,ng NGA,DF,Torino,2019-2020
504,Allan\Allan,ALLAN,br BRA,MF,Napoli,2019-2020
505,Sofyan Amrabat\Sofyan-Amrabat,AMRABAT,ma MAR,MF,Verona,2019-2020
506,Peter Ankersen\Peter-Ankersen,ANKERSEN,dk DEN,DF,Genoa,2019-2020
507,Cristian Ansaldi\Cristian-Ansaldi,ANSALDI,ar ARG,DFMF,Torino,2019-2020
508,Tommaso Augello\Tommaso-Augello,AUGELLO,it ITA,DF,Sampdoria,2019-2020
509,Florian Ayé\Florian-Aye,AYE,fr FRA,FWMF,Brescia,2019-2020
510,Khouma Babacar\Khouma-Babacar,BABACAR,sn SEN,FW,Lecce,2019-2020
511,Milan Badelj\Milan-Badelj,BADELJ,hr CRO,MF,Fiorentina,2019-2020
512,Mario Balotelli\Mario-Balotelli,BALOTELLI,it ITA,FW,Brescia,2019-2020
513,Mattia Bani\Mattia-Bani,BANI,it ITA,DF,Bologna,2019-2020
514,Antonín Barák\Antonin-Barak,BARAK,cz CZE,MF,Lecce,2019-2020
515,Nicolò Barella\Nicolo-Barella,BARELLA,it ITA,MF,Inter,2019-2020
516,Antonino Barillà\Antonino-Barilla,BARILLA,it ITA,MF,Parma,2019-2020
517,Antonio Barreca\Antonio-Barreca,BARRECA,it ITA,DFMF,Genoa,2019-2020
518,Musa Barrow\Musa-Barrow,BARROW,gm GAM,FW,Bologna,2019-2020
519,Daniele Baselli\Daniele-Baselli,BASELLI,it ITA,MF,Torino,2019-2020
520,Alessandro Bastoni\Alessandro-Bastoni,BASTONI,it ITA,DF,Inter,2019-2020
521,Valon Behrami\Valon-Behrami,BEHRAMI,ch SUI,MF,Genoa,2019-2020
522,Andrea Belotti\Andrea-Belotti,BELOTTI,it ITA,FW,Torino,2019-2020
523,Marco Benassi\Marco-Benassi,BENASSI,it ITA,MF,Fiorentina,2019-2020
524,Ismaël Bennacer\Ismael-Bennacer,BENNACER,dz ALG,MF,Milan,2019-2020
525,Rodrigo Bentancur\Rodrigo-Bentancur,BENTANCUR,uy URU,MF,Juventus,2019-2020
526,Domenico Berardi\Domenico-Berardi,BERARDI,it ITA,FW,Sassuolo,2019-2020
527,Álex Berenguer\Alex-Berenguer,BERENGUER,es ESP,MFFW,Torino,2019-2020
528,Bartosz Bereszyński\Bartosz-Bereszynski,BERESZYNSKI,pl POL,DF,Sampdoria,2019-2020
529,Federico Bernardeschi\Federico-Bernardeschi,BERNARDESCHI,it ITA,MFFW,Juventus,2019-2020
530,Cristiano Biraghi\Cristiano-Biraghi,BIRAGHI,it ITA,DFMF,Inter,2019-2020
531,Davide Biraschi\Davide-Biraschi,BIRASCHI,it ITA,DF,Genoa,2019-2020
532,Dimitri Bisoli\Dimitri-Bisoli,BISOLI,it ITA,MF,Brescia,2019-2020
533,Jeremie Boga\Jeremie-Boga,BOGA,ci CIV,FW,Sassuolo,2019-2020
534,Giacomo Bonaventura\Giacomo-Bonaventura,BONAVENTURA,it ITA,MFFW,Milan,2019-2020
535,Kevin Bonifazi\Kevin-Bonifazi,BONIFAZI,it ITA,DF,SPAL,2019-2020
536,Leonardo Bonucci\Leonardo-Bonucci,BONUCCI,it ITA,DF,Juventus,2019-2020
537,Mehdi Bourabia\Mehdi-Bourabia,BOURABIA,ma MAR,MF,Sassuolo,2019-2020
538,Gleison Bremer\Gleison-Bremer,BREMER,br BRA,DF,Torino,2019-2020
539,Marcelo Brozović\Marcelo-Brozovic,BROZOVIC,hr CRO,MF,Inter,2019-2020
540,Gastón Brugman\Gaston-Brugman,BRUGMAN,uy URU,MF,Parma,2019-2020
541,Fabrizio Cacciatore\Fabrizio-Cacciatore,CACCIATORE,it ITA,DF,Cagliari,2019-2020
542,Martín Cáceres\Martin-Caceres,CACERES,uy URU,DF,Fiorentina,2019-2020
543,Felipe Caicedo\Felipe-Caicedo,CAICEDO,ec ECU,FW,Lazio,2019-2020
544,Davide Calabria\Davide-Calabria,CALABRIA,it ITA,DF,Milan,2019-2020
545,Mattia Caldara\Mattia-Caldara,CALDARA,it ITA,DF,Atalanta,2019-2020
546,Marco Calderoni\Marco-Calderoni,CALDERONI,it ITA,DF,Lecce,2019-2020
547,Hakan Çalhanoğlu\Hakan-Calhanoglu,CALHANOGLU,tr TUR,MFFW,Milan,2019-2020
548,José Callejón\Jose-Callejon,CALLEJON,es ESP,FWMF,Napoli,2019-2020
549,Antonio Candreva\Antonio-Candreva,CANDREVA,it ITA,DF,Inter,2019-2020
550,Francesco Caputo\Francesco-Caputo,CAPUTO,it ITA,FW,Sassuolo,2019-2020
551,Francesco Cassata\Francesco-Cassata,CASSATA,it ITA,MF,Genoa,2019-2020
552,Timothy Castagne\Timothy-Castagne,CASTAGNE,be BEL,DF,Atalanta,2019-2020
553,Samu Castillejo\Samu-Castillejo,CASTILLEJO,es ESP,FWMF,Milan,2019-2020
554,Gaetano Castrovilli\Gaetano-Castrovilli,CASTROVILLI,it ITA,MF,Fiorentina,2019-2020
555,Luca Ceppitelli\Luca-Ceppitelli,CEPPITELLI,it ITA,DF,Cagliari,2019-2020
556,Jhon Chancellor\Jhon-Chancellor,CHANCELLOR,ve VEN,DF,Brescia,2019-2020
557,Federico Chiesa\Federico-Chiesa,CHIESA,it ITA,FWDF,Fiorentina,2019-2020
558,Luca Cigarini\Luca-Cigarini,CIGARINI,it ITA,MF,Cagliari,2019-2020
559,Thiago Cionek\Thiago-Cionek,CIONEK,pl POL,DF,SPAL,2019-2020
560,Andrea Cistana\Andrea-Cistana,CISTANA,it ITA,DF,Brescia,2019-2020
561,Omar Colley\Omar-Colley,COLLEY,gm GAM,DF,Sampdoria,2019-2020
562,Andrea Conti\Andrea-Conti,CONTI,it ITA,DF,Milan,2019-2020
563,Andreas Cornelius\Andreas-Cornelius,CORNELIUS,dk DEN,FW,Parma,2019-2020
564,Joaquín Correa\Joaquin-Correa,CORREA,ar ARG,FWMF,Lazio,2019-2020
565,Domenico Criscito\Domenico-Criscito,CRISCITO,it ITA,DF,Genoa,2019-2020
566,Bryan Cristante\Bryan-Cristante,CRISTANTE,it ITA,MF,Roma,2019-2020
567,Juan Cuadrado\Juan-Cuadrado,CUADRADO,co COL,DF,Juventus,2019-2020
568,Bryan Dabo\Bryan-Dabo,DABO,bf BFA,MF,SPAL,2019-2020
569,Danilo\Danilo,DANILO,br BRA,DF,Juventus,2019-2020
570,Matteo Darmian\Matteo-Darmian,DARMIAN,it ITA,DF,Parma,2019-2020
571,Grégoire Defrel\Gregoire-Defrel,DEFREL,mq MTQ,FWMF,Sassuolo,2019-2020
572,Stefano Denswil\Stefano-Denswil,DENSWIL,nl NED,DF,Bologna,2019-2020
573,Fabio Depaoli\Fabio-Depaoli,DEPAOLI,it ITA,MFDF,Sampdoria,2019-2020
574,Kastriot Dermaku\Kastriot-Dermaku,DERMAKU,al ALB,DF,Parma,2019-2020
575,Daniele Dessena\Daniele-Dessena,DESSENA,it ITA,MF,Brescia,2019-2020
576,Amadou Diawara\Amadou-Diawara,DIAWARA,gn GUI,MF,Roma,2019-2020
577,Mitchell Dijks\Mitchell-Dijks,DIJKS,nl NED,DF,Bologna,2019-2020
578,Berat Djimsiti\Berat-Djimsiti,DJIMSITI,al ALB,DF,Atalanta,2019-2020
579,Giulio Donati\Giulio-Donati,DONATI,it ITA,DF,Lecce,2019-2020
580,Paulo Dybala\Paulo-Dybala,DYBALA,ar ARG,FWMF,Juventus,2019-2020
581,Edin Džeko\Edin-Dzeko,DZEKO,ba BIH,FW,Roma,2019-2020
582,Albin Ekdal\Albin-Ekdal,EKDAL,se SWE,MF,Sampdoria,2019-2020
583,Elif Elmas\Elif-Elmas,ELMAS,mk MKD,MF,Napoli,2019-2020
584,Filippo Falco\Filippo-Falco,FALCO,it ITA,FWMF,Lecce,2019-2020
585,Paolo Faragò\Paolo-Farago,FARAGO,it ITA,DF,Cagliari,2019-2020
586,Davide Faraoni\Davide-Faraoni,FARAONI,it ITA,DF,Verona,2019-2020
587,Federico Fazio\Federico-Fazio,FAZIO,ar ARG,DF,Roma,2019-2020
588,Sergio Floccari\Sergio-Floccari,FLOCCARI,it ITA,FW,SPAL,2019-2020
589,Alessandro Florenzi\Alessandro-Florenzi,FLORENZI,it ITA,DFFW,Roma,2019-2020
590,Seko Fofana\Seko-Fofana,FOFANA,ci CIV,MF,Udinese,2019-2020
591,Remo Freuler\Remo-Freuler,FREULER,ch SUI,MF,Atalanta,2019-2020
592,Manolo Gabbiadini\Manolo-Gabbiadini,GABBIADINI,it ITA,FW,Sampdoria,2019-2020
593,Roberto Gagliardini\Roberto-Gagliardini,GAGLIARDINI,it ITA,MF,Inter,2019-2020
594,Riccardo Gagliolo\Riccardo-Gagliolo,GAGLIOLO,se SWE,DF,Parma,2019-2020
595,Gervinho\Gervinho,GERVINHO,ci CIV,FW,Parma,2019-2020
596,Paolo Ghiglione\Paolo-Ghiglione,GHIGLIONE,it ITA,DF,Genoa,2019-2020
597,Diego Godín\Diego-Godin,GODIN,uy URU,DF,Inter,2019-2020
598,Papu Gómez\Papu-Gomez,GOMEZ,ar ARG,MFFW,Atalanta,2019-2020
599,Robin Gosens\Robin-Gosens,GOSENS,de GER,DF,Atalanta,2019-2020
600,Koray Günter\Koray-Gunter,GUNTER,de GER,DF,Verona,2019-2020
601,Hans Hateboer\Hans-Hateboer,HATEBOER,nl NED,DF,Atalanta,2019-2020
602,Hernani\Hernani,HERNANI,br BRA,MF,Parma,2019-2020
603,Gonzalo Higuaín\Gonzalo-Higuain,HIGUAIN,ar ARG,FW,Juventus,2019-2020
604,Elseid Hysaj\Elseid-Hysaj,HYSAJ,al ALB,DF,Napoli,2019-2020
605,Simone Iacoponi\Simone-Iacoponi,IACOPONI,it ITA,DF,Parma,2019-2020
606,Zlatan Ibrahimović\Zlatan-Ibrahimovic,IBRAHIMOVIC,se SWE,FW,Milan,2019-2020
607,Josip Iličić\Josip-Ilicic,ILICIC,si SVN,FW,Atalanta,2019-2020
608,Ciro Immobile\Ciro-Immobile,IMMOBILE,it ITA,FW,Lazio,2019-2020
609,Lorenzo Insigne\Lorenzo-Insigne,INSIGNE,it ITA,FWMF,Napoli,2019-2020
610,Artur Ioniță\Artur-Ionita,IONITA,md MDA,MF,Cagliari,2019-2020
611,Armando Izzo\Armando-Izzo,IZZO,it ITA,DF,Torino,2019-2020
612,Mato Jajalo\Mato-Jajalo,JAJALO,ba BIH,MF,Udinese,2019-2020
