Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,AvgScore,Min,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKsv,PKm
29,16.9,24,4,0,1,2,21.9,0.23,-0.1,-0.01,105,278,37.8,62,55.4,45.1,200,12,6.0,4,0.24,11.1,6.41,1524.0,1.42,83,63,75.9,8,5,4,4,23.5,4,0,0
30,16.3,17,2,1,2,0,18.0,0.31,1.0,0.06,54,109,49.5,58,23.5,28.3,127,11,8.7,9,0.55,14.0,6.09,1469.0,1.04,53,36,71.7,9,3,5,4,23.5,2,0,0
26,21.0,38,1,1,4,1,37.0,0.36,0.0,0.0,146,408,35.8,93,56.8,44.6,213,11,5.2,8,0.38,12.3,6.12,1890.0,1.81,99,63,62.6,8,4,9,5,23.8,2,0,1
28,34.0,53,6,1,10,0,53.9,0.26,0.9,0.03,276,562,49.1,114,51.2,41.6,391,12,3.1,8,0.24,13.0,6.26,3060.0,1.56,184,134,74.5,13,6,15,5,14.7,9,3,0
28,35.0,43,7,1,7,1,42.4,0.25,0.4,0.01,193,718,26.9,78,66.3,48.1,366,17,4.6,9,0.26,12.0,6.2,3150.0,1.23,148,108,75.7,11,13,11,9,25.7,7,0,0
32,36.0,64,9,3,9,3,64.9,0.3,3.9,0.11,292,610,47.9,113,48.1,40.0,378,25,6.6,14,0.39,13.3,6.43,3240.0,1.78,189,135,70.9,11,6,19,7,19.4,10,1,0
28,37.0,64,6,2,6,1,57.8,0.3,-5.2,-0.14,197,445,44.3,216,37.7,35.3,320,46,14.4,15,0.41,12.9,5.99,3330.0,1.73,180,122,67.8,12,10,15,2,5.4,8,1,1
24,38.0,42,7,1,8,1,45.6,0.27,4.6,0.12,202,453,44.6,149,40.7,34.5,282,15,5.3,17,0.45,13.9,6.21,3420.0,1.11,145,111,75.9,24,6,8,11,28.9,9,1,1
29,28.8,33,8,1,4,0,34.6,0.22,1.6,0.06,108,200,54.0,156,28.5,32.5,219,11,5.0,22,0.76,15.0,6.19,2591.0,1.15,120,95,79.2,19,4,6,11,37.9,10,1,1
23,37.0,54,7,1,6,1,51.3,0.27,-1.7,-0.05,254,612,41.5,175,44.6,38.5,381,30,7.9,15,0.41,12.7,6.38,3330.0,1.46,165,117,71.5,14,7,16,6,16.2,9,2,0
33,37.0,56,4,0,4,1,57.5,0.3,2.5,0.07,185,409,45.2,161,30.9,30.9,327,29,8.9,26,0.7,15.9,6.38,3330.0,1.51,180,127,71.1,17,10,10,7,18.9,5,1,0
37,36.0,91,5,2,10,2,76.4,0.36,-12.6,-0.35,248,606,40.9,160,42.1,35.4,318,18,5.7,30,0.83,15.1,6.17,3240.0,2.53,203,115,57.6,6,3,27,2,5.6,5,0,0
26,34.0,53,5,1,7,0,55.2,0.29,2.2,0.06,206,485,42.5,129,46.3,37.1,320,31,9.7,15,0.44,12.8,6.37,3060.0,1.56,177,125,72.9,6,10,18,6,17.6,5,0,0
22,35.0,55,8,1,10,1,53.4,0.35,-0.6,-0.02,229,566,40.5,166,51.9,41.9,335,24,7.2,17,0.49,14.3,6.21,3148.0,1.57,128,82,63.3,9,12,15,8,22.2,10,2,0
25,24.0,26,4,0,3,1,24.7,0.32,-0.3,-0.01,117,270,43.3,82,34.5,35.4,135,7,5.2,23,0.96,16.3,6.1,2156.0,1.09,61,38,63.9,14,8,3,9,36.0,6,2,0
36,36.0,33,4,1,3,1,29.5,0.24,-2.5,-0.07,126,261,48.3,149,23.0,28.8,281,16,5.7,14,0.39,12.1,6.03,3240.0,0.92,105,76,72.4,27,7,3,14,37.8,6,2,0
23,22.0,29,2,1,3,1,22.8,0.28,-5.2,-0.23,63,117,53.8,97,18.0,26.7,149,15,10.1,6,0.27,13.0,6.2,1980.0,1.32,79,53,65.8,13,5,4,6,27.3,2,0,0
37,12.8,19,2,1,0,0,15.9,0.25,-3.1,-0.24,70,149,47.0,69,35.3,33.2,112,2,1.8,15,1.17,15.8,6.15,1153.0,1.48,54,36,68.5,6,3,4,5,38.5,3,1,0
24,37.0,74,4,0,11,6,64.4,0.36,-3.6,-0.1,249,668,37.3,172,51.9,40.8,375,36,9.6,21,0.57,14.7,5.99,3330.0,2.0,170,104,58.8,7,11,19,7,18.9,5,1,0
26,35.0,51,13,2,2,0,53.7,0.31,2.7,0.08,185,419,44.2,171,40.2,35.6,292,28,9.6,15,0.43,12.9,6.13,3147.0,1.46,140,102,72.9,9,10,16,8,22.9,13,0,0
31,16.0,12,3,0,0,0,13.2,0.27,1.2,0.07,73,155,47.1,49,29.6,31.4,117,11,9.4,12,0.75,15.4,6.09,1440.0,0.75,39,30,76.9,11,0,5,8,50.0,3,0,0
27,32.0,44,7,0,6,2,47.2,0.28,5.2,0.16,233,624,37.3,136,54.8,41.3,342,17,5.0,9,0.28,12.4,6.25,2879.0,1.38,151,113,75.5,9,11,12,8,25.0,7,0,0
26,29.0,55,6,1,5,0,49.1,0.35,-5.9,-0.2,280,617,45.4,135,42.7,38.3,199,19,9.5,29,1.0,16.3,6.05,2610.0,1.9,124,74,60.5,6,10,13,4,13.8,7,1,0
37,29.0,41,8,0,7,2,36.3,0.28,-2.7,-0.09,196,383,51.2,122,34.7,34.2,218,11,5.0,12,0.41,15.3,6.12,2610.0,1.41,107,75,69.2,18,3,8,9,31.0,8,0,0
29,36.0,76,2,0,9,3,60.8,0.34,-12.2,-0.34,351,637,55.1,180,44.2,38.1,416,25,6.0,11,0.31,12.8,6.0,3240.0,2.11,177,103,58.2,3,11,22,5,13.9,2,0,0
29,34.0,42,6,1,7,2,37.5,0.26,-2.5,-0.07,212,746,28.4,79,68.6,47.0,288,10,3.5,13,0.38,13.1,6.21,3060.0,1.24,125,89,71.2,11,9,14,7,20.6,7,0,1
33,32.0,62,8,1,7,0,46.7,0.31,-15.3,-0.48,198,478,41.4,106,45.2,37.1,301,18,6.0,16,0.5,12.9,6.02,2880.0,1.94,129,74,58.1,5,13,14,7,21.9,9,0,1
29,28.0,46,5,1,8,1,44.9,0.28,-0.1,0.0,120,316,38.0,163,33.7,33.3,243,25,10.3,13,0.46,12.8,6.09,2520.0,1.64,143,102,71.3,10,5,13,4,14.3,7,2,0
28,14.0,21,1,0,2,0,16.1,0.3,-4.9,-0.35,49,109,45.0,69,23.8,30.0,88,7,8.0,15,1.07,16.9,6.23,1261.0,1.5,48,28,58.3,9,1,3,2,15.4,2,1,0
30,29.7,32,4,0,4,2,28.1,0.25,-1.9,-0.06,118,203,58.1,130,21.0,29.1,241,17,7.1,24,0.81,14.7,6.22,2677.0,1.08,95,67,70.5,16,8,6,5,16.7,6,2,0
